Test 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099999964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099999964,0,0.199999928,0.001999999
Test 2,0.400000036,0.100000024,0,0.100000024,0.099999964,0,0,0.099999964,0,0.100000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000024,0,0,0,0,0,0,0,0.099999964,0,0,0,0,0,0,0,0.099999964,0,0.100000024,0,0,0,0,0,0,0,0.100000024,0,0,0,0,0,0.100000024,0,0.100000024,0,0.100000024,0.100000024,0,0,0.099999964,0,0.100000024,0,0.099999964,0.099999964,0,0,0.099999964,0,0,0.099999964,0,0,0,0,0,0,0,0,0,0,0.099999964,0,0,0.100000024,0,0,0.100000024,0,0,0,0,0,0,2.699999988,0.027
Test 3,39,1.399999976,1.5,1.599999964,1.5,1.399999976,1.5,1.5,1.699999988,1.5,1.699999988,1.400000036,1.399999976,1.399999976,2,2,1.400000036,1.799999952,2,1.899999976,1.400000036,1.599999964,1.5,2.200000048,1.900000036,1.399999976,1.800000012,1.899999976,1.399999976,1.399999976,2.099999964,1.699999988,2.099999964,1.5,1.600000024,2.100000024,1.699999988,1.399999976,1.5,2.099999964,1.5,1.5,1.899999976,1.399999976,1.800000012,1.600000024,2.600000024,1.5,1.5,2.100000024,1.5,1.599999964,1.5,1.5,1.5,1.5,1.300000012,1.399999976,1.399999976,1.399999976,2.099999964,1.299999952,1.399999976,1.399999976,1.5,1.300000012,1.800000012,1.5,1.599999964,1.900000036,2.200000048,1.399999976,1.600000024,1.600000024,1.599999964,1.5,1.400000036,1.400000036,1.400000036,1.899999976,2.100000024,1.5,1.5,1.800000012,1.5,1.300000012,1.400000036,1.400000036,1.599999964,1.5,1.300000012,1.5,1.5,1.399999976,1.399999976,1.5,1.399999976,1.5,1.700000048,1.300000012,197.7999998,1.977999998
Test 4,220.8,202.2,203.2,206.4,214.1,217.5,202.4,204.9,205.8,226,210.4,202.4,217.4,203.2,211.2,214.3,208.4,214.1,211.1,214.6,211,205.9,205.1,216.8,205.7,214.8,205.4,208.9,208.3,205.7,205.3,205.6,207.9,210.3,210.2,207.1,209.1,222.2,214.4,205,204.6,216.1,200.3,198.6,204.4,198.9,203.4,202.6,201.9,195.4,201.7,205.7,199.8,200.4,204.1,205.2,199.7,208.6,224,218.4,211.3,205.5,203.6,201.8,203.3,196.8,201.6,198.8,231.4,226.7,209.7,200.3,199,206.8,199.2,197.4,196,200.4,195.5,195.7,197,195.7,193.9,196.4,196.8,196.9,198.7,198,192,194,197,198.3,197.3,195.2,193.9,197.6,198.6,195.7,204.6,195.1,20502.4,205.024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suma,Prom
