# Array,Mean,"['#1', '#2', '#3', '#4', '#5', '#6', '#7', '#8', '#9', '#10', '#11', '#12', '#13', '#14', '#15', '#16', '#17', '#18', '#19', '#20', '#21', '#22', '#23', '#24', '#25', '#26', '#27', '#28', '#29', '#30', '#31', '#32', '#33', '#34', '#35', '#36', '#37', '#38', '#39', '#40', '#41', '#42', '#43', '#44', '#45', '#46', '#47', '#48', '#49', '#50', '#51', '#52', '#53', '#54', '#55', '#56', '#57', '#58', '#59', '#60', '#61', '#62', '#63', '#64', '#65', '#66', '#67', '#68', '#69', '#70', '#71', '#72', '#73', '#74', '#75', '#76', '#77', '#78', '#79', '#80', '#81', '#82', '#83', '#84', '#85', '#86', '#87', '#88', '#89', '#90', '#91', '#92', '#93', '#94', '#95', '#96', '#97', '#98', '#99', '#100']"
Array 1,7.999897003173829e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000997304916381836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009996891021728516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010001659393310547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010020732879638672, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009999275207519531, 0.0010013580322265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00099945068359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009999275207519531, 0.0, 0.0, 0.0, 0.0]"
Array 2,0.0011301398277282714,"[0.0019996166229248047, 0.0009984970092773438, 0.0010004043579101562, 0.002001047134399414, 0.0009989738464355469, 0.0010027885437011719, 0.000997304916381836, 0.0010013580322265625, 0.0009996891021728516, 0.0010023117065429688, 0.00099945068359375, 0.0019998550415039062, 0.0009996891021728516, 0.001001119613647461, 0.0010006427764892578, 0.0009984970092773438, 0.0, 0.0010018348693847656, 0.0009989738464355469, 0.0010001659393310547, 0.00099945068359375, 0.002001047134399414, 0.0010008811950683594, 0.0009992122650146484, 0.0010004043579101562, 0.0, 0.0010004043579101562, 0.0009992122650146484, 0.0010013580322265625, 0.0009987354278564453, 0.0010001659393310547, 0.0009996891021728516, 0.0009999275207519531, 0.003002166748046875, 0.0009992122650146484, 0.002000570297241211, 0.0009989738464355469, 0.0009996891021728516, 0.0009996891021728516, 0.0009999275207519531, 0.0010008811950683594, 0.0009989738464355469, 0.0009999275207519531, 0.00099945068359375, 0.0010013580322265625, 0.00099945068359375, 0.003000020980834961, 0.0009984970092773438, 0.0010001659393310547, 0.0010001659393310547, 0.0009987354278564453, 0.0009996891021728516, 0.0010001659393310547, 0.002000570297241211, 0.0010006427764892578, 0.003000974655151367, 0.0010037422180175781, 0.002002239227294922, 0.0010001659393310547, 0.0010001659393310547, 0.0010006427764892578, 0.00099945068359375, 0.0, 0.0009975433349609375, 0.003002166748046875, 0.0009999275207519531, 0.0009984970092773438, 0.001001119613647461, 0.0009987354278564453, 0.0009999275207519531, 0.0009999275207519531, 0.0009984970092773438, 0.0010004043579101562, 0.0, 0.0, 0.001001596450805664, 0.0019998550415039062, 0.0009999275207519531, 0.0010008811950683594, 0.0009987354278564453, 0.0, 0.0, 0.0, 0.0, 0.001001596450805664, 0.0009999275207519531, 0.0009992122650146484, 0.0010001659393310547, 0.002000570297241211, 0.003001689910888672, 0.0010008811950683594, 0.00099945068359375, 0.0010006427764892578, 0.0009989738464355469, 0.0009999275207519531, 0.0009996891021728516, 0.004001617431640625, 0.001001119613647461, 0.001001596450805664, 0.0010001659393310547]"
Array 3,0.08722899675369263,"[0.1740124225616455, 0.09000682830810547, 0.08800458908081055, 0.08833765983581543, 0.0830078125, 0.08300566673278809, 0.08300590515136719, 0.08500528335571289, 0.10200929641723633, 0.09900617599487305, 0.08600759506225586, 0.08400535583496094, 0.08400654792785645, 0.08400535583496094, 0.0830070972442627, 0.08303070068359375, 0.08800983428955078, 0.08600568771362305, 0.08452963829040527, 0.08800649642944336, 0.08600735664367676, 0.08351469039916992, 0.20801615715026855, 0.10400557518005371, 0.08600640296936035, 0.08400845527648926, 0.08600568771362305, 0.09100627899169922, 0.08400702476501465, 0.08500552177429199, 0.08900713920593262, 0.1010432243347168, 0.08200454711914062, 0.08400940895080566, 0.08200526237487793, 0.08318948745727539, 0.08900690078735352, 0.08400607109069824, 0.08451652526855469, 0.08594417572021484, 0.0850217342376709, 0.08599328994750977, 0.08400416374206543, 0.08654117584228516, 0.08800911903381348, 0.09501099586486816, 0.0880422592163086, 0.08400583267211914, 0.08300447463989258, 0.08359479904174805, 0.08600449562072754, 0.08701062202453613, 0.08200478553771973, 0.08300495147705078, 0.08400511741638184, 0.0850071907043457, 0.08300280570983887, 0.08300542831420898, 0.09200787544250488, 0.08600640296936035, 0.08600521087646484, 0.09100937843322754, 0.09400725364685059, 0.09600639343261719, 0.1330583095550537, 0.14301085472106934, 0.06800436973571777, 0.04900097846984863, 0.048003435134887695, 0.06200551986694336, 0.04900383949279785, 0.0460050106048584, 0.05800485610961914, 0.049002647399902344, 0.05800485610961914, 0.0830087661743164, 0.0890049934387207, 0.08800745010375977, 0.08900785446166992, 0.09800839424133301, 0.08800363540649414, 0.0844876766204834, 0.08549690246582031, 0.08599376678466797, 0.08500194549560547, 0.0911257266998291, 0.08800601959228516, 0.08600640296936035, 0.08385801315307617, 0.0859994888305664, 0.09602785110473633, 0.08497118949890137, 0.08900594711303711, 0.08712267875671387, 0.08800673484802246, 0.08986711502075195, 0.08513116836547852, 0.08545899391174316, 0.08740663528442383, 0.08613204956054688]"
