0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509000,12100,0,0,140300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518500,0,29900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519300,0,0
2.2127e+06,1.5946e+06,1.5105e+06,1.0014e+06,3.4721e+06,1.0916e+06,522800,1.0476e+06,526200,1.0452e+06,512000,1.0484e+06,528300,1.0507e+06,1.0574e+06,516900,1.0344e+06,682600,1.8674e+06,1.5323e+06,1.2338e+06,1.1093e+06,1.1243e+06,1.0613e+06,518800,517500,986500,1.0002e+06,605100,900000,1e+06,999300,0,1.0003e+06,1.0025e+06,2.0035e+06,1.997e+06,998300,1.0001e+06,1.0034e+06,997200,0,999100,1.0007e+06,999700,1.0015e+06,998600,0,1.0001e+06,999700,8.003e+06,998700,999800,1.0004e+06,1.0008e+06,1.0002e+06,998700,1.0013e+06,1.742e+06,989900,2.0015e+06,1.9996e+06,1.0022e+06,1.9966e+06,1.0005e+06,1.0008e+06,1.0001e+06,0,999800,999900,1.0005e+06,998500,1.0161e+06,989000,1.0016e+06,3.0008e+06,1.0001e+06,998500,999600,1.0016e+06,999600,998800,1.002e+06,0,999800,999800,1.0729e+06,518100,991400,0,1e+06,1.0002e+06,1.0005e+06,1.0064e+06,996500,999200,999100,999400,1.0003e+06,0
3.529309e+08,4.57585e+07,4.5396e+07,4.76024e+07,4.80001e+07,5.01445e+07,5.38614e+07,5.00078e+07,5.54739e+07,4.75205e+07,3.8993e+07,4.74935e+07,3.75027e+07,3.80054e+07,3.34852e+07,3.50154e+07,3.44994e+07,3.74808e+07,3.10007e+07,3.65587e+07,3.44454e+07,3.55133e+07,3.50043e+07,3.50034e+07,3.30476e+07,3.30021e+07,3.54289e+07,3.30042e+07,3.26152e+07,3.60052e+07,3.58715e+07,3.30036e+07,3.40001e+07,3.64047e+07,3.10027e+07,3.70045e+07,3.2301e+07,3.40042e+07,3.20002e+07,3.50074e+07,3.17759e+07,3.75153e+07,3.80067e+07,3.44803e+07,3.60951e+07,3.25124e+07,3.51345e+07,3.42541e+07,4.15085e+07,4.30039e+07,3.65097e+07,4.05169e+07,3.49738e+07,3.42397e+07,4.20171e+07,3.65196e+07,3.42183e+07,3.50061e+07,3.90379e+07,3.44479e+07,3.45542e+07,3.74514e+07,3.5341e+07,3.36546e+07,3.53587e+07,3.46513e+07,3.55078e+07,3.52815e+07,3.29933e+07,3.12079e+07,3.40011e+07,3.10012e+07,3.25194e+07,3.39978e+07,3.50022e+07,3.30028e+07,3.89865e+07,3.40022e+07,3.30049e+07,3.44839e+07,3.29994e+07,3.36048e+07,3.30021e+07,3.5392e+07,3.20034e+07,3.35151e+07,3.49966e+07,3.19933e+07,3.40043e+07,3.57009e+07,4.70649e+07,3.60039e+07,3.8517e+07,3.32013e+07,3.40034e+07,3.45194e+07,3.54763e+07,3.30038e+07,3.35082e+07,3.36801e+07
