0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;996300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9963
2,99E+10;2,00E+10;992800;997500;998100;1,99E+10;996900;2,00E+10;997800;4,98E+10;997300;2,32E+10;985100;1,99E+09;997200;1,99E+10;998600;1,99E+10;1,53E+09;1,58E+10;989400;999800;2,00E+10;991200;1,99E+09;998400;1,99E+09;997100;997500;1,99E+10;2,00E+10;991600;1,99E+10;997500;2,00E+10;996900;2,00E+10;996000;1,99E+09;997300;1,99E+10;998200;2,00E+09;998300;996700;2,99E+10;1,00E+10;2,00E+10;1,99E+10;1,99E+10;995400;997600;2,00E+09;997700;2,00E+10;1,99E+10;996600;998300;1,99E+09;997300;997100;2,00E+10;4,99E+10;4,99E+10;996500;1,99E+09;997600;997100;1,99E+10;3,99E+10;1,99E+10;2,00E+09;997600;996500;998000;1,99E+10;997300;997100;1,99E+12;998900;995600;1,99E+10;1,00E+10;1,99E+10;994700;1,99E+10;996000;2,00E+10;1,99E+09;997600;996900;2,00E+10;997100;1,99E+10;2,00E+10;996500;996700;1,99E+10;2,99E+10;2,99E+10;29632038349
5,33E+14;1,29E+14;1,62E+14;1,08E+14;1,39E+14;1,82E+13;2,93E+14;1,11E+14;1,58E+14;1,42E+14;1,68E+14;1,25E+14;1,41E+14;1,56E+14;1,50E+14;1,26E+14;1,10E+14;1,24E+14;9,43E+12;8,93E+12;1,02E+14;9,33E+12;1,66E+14;1,35E+14;1,15E+14;1,01E+14;1,02E+14;1,10E+14;9,63E+12;1,02E+14;1,25E+14;1,46E+14;1,54E+13;1,29E+14;8,93E+12;9,33E+12;1,02E+14;1,12E+14;1,02E+14;1,38E+14;1,17E+14;1,21E+14;1,10E+14;9,38E+12;9,30E+12;9,10E+12;8,60E+12;9,30E+12;8,59E+12;1,03E+14;1,30E+14;1,51E+13;1,19E+14;9,53E+12;1,01E+14;8,58E+12;8,69E+12;8,34E+12;8,78E+11;1,44E+14;1,31E+14;2,82E+13;1,91E+14;1,15E+14;1,06E+14;1,30E+14;1,20E+14;1,13E+14;1,02E+14;9,58E+12;9,34E+12;9,38E+11;1,01E+14;1,01E+14;1,11E+14;1,30E+14;1,20E+14;1,16E+14;1,08E+14;9,18E+12;8,88E+12;8,68E+12;1,06E+14;1,10E+14;1,28E+14;1,27E+14;1,09E+14;1,02E+14;9,38E+12;9,38E+12;9,33E+12;9,60E+12;9,58E+11;1,40E+14;1,34E+14;1,22E+14;1,06E+14;1,02E+14;9,64E+12;1,46E+14;9,15504E+13
