<<<<<<< HEAD
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;996300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9963
2,99E+10;2,00E+10;992800;997500;998100;1,99E+10;996900;2,00E+10;997800;4,98E+10;997300;2,32E+10;985100;1,99E+09;997200;1,99E+10;998600;1,99E+10;1,53E+09;1,58E+10;989400;999800;2,00E+10;991200;1,99E+09;998400;1,99E+09;997100;997500;1,99E+10;2,00E+10;991600;1,99E+10;997500;2,00E+10;996900;2,00E+10;996000;1,99E+09;997300;1,99E+10;998200;2,00E+09;998300;996700;2,99E+10;1,00E+10;2,00E+10;1,99E+10;1,99E+10;995400;997600;2,00E+09;997700;2,00E+10;1,99E+10;996600;998300;1,99E+09;997300;997100;2,00E+10;4,99E+10;4,99E+10;996500;1,99E+09;997600;997100;1,99E+10;3,99E+10;1,99E+10;2,00E+09;997600;996500;998000;1,99E+10;997300;997100;1,99E+12;998900;995600;1,99E+10;1,00E+10;1,99E+10;994700;1,99E+10;996000;2,00E+10;1,99E+09;997600;996900;2,00E+10;997100;1,99E+10;2,00E+10;996500;996700;1,99E+10;2,99E+10;2,99E+10;29632038349
5,33E+14;1,29E+14;1,62E+14;1,08E+14;1,39E+14;1,82E+13;2,93E+14;1,11E+14;1,58E+14;1,42E+14;1,68E+14;1,25E+14;1,41E+14;1,56E+14;1,50E+14;1,26E+14;1,10E+14;1,24E+14;9,43E+12;8,93E+12;1,02E+14;9,33E+12;1,66E+14;1,35E+14;1,15E+14;1,01E+14;1,02E+14;1,10E+14;9,63E+12;1,02E+14;1,25E+14;1,46E+14;1,54E+13;1,29E+14;8,93E+12;9,33E+12;1,02E+14;1,12E+14;1,02E+14;1,38E+14;1,17E+14;1,21E+14;1,10E+14;9,38E+12;9,30E+12;9,10E+12;8,60E+12;9,30E+12;8,59E+12;1,03E+14;1,30E+14;1,51E+13;1,19E+14;9,53E+12;1,01E+14;8,58E+12;8,69E+12;8,34E+12;8,78E+11;1,44E+14;1,31E+14;2,82E+13;1,91E+14;1,15E+14;1,06E+14;1,30E+14;1,20E+14;1,13E+14;1,02E+14;9,58E+12;9,34E+12;9,38E+11;1,01E+14;1,01E+14;1,11E+14;1,30E+14;1,20E+14;1,16E+14;1,08E+14;9,18E+12;8,88E+12;8,68E+12;1,06E+14;1,10E+14;1,28E+14;1,27E+14;1,09E+14;1,02E+14;9,38E+12;9,38E+12;9,33E+12;9,60E+12;9,58E+11;1,40E+14;1,34E+14;1,22E+14;1,06E+14;1,02E+14;9,64E+12;1,46E+14;9,15504E+13
=======
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541500,506100,0,0,996600,0,0,0,997000,0,591800,0,520600,0,507700,136300,510000,133100,0,513600,0,526900,0,515800,0,603800,505400,0,510700,0,555500,130800,0,621900,0,526300,0,556700,507300,21000,507000,74400,0,510300,508900,0,509100,0,511200,0,538000,0,511000,0,538600,0,537100,0,536500,0,509800,0,511300,0,505100,508200,28400,0,509900,533900,0,514100,0,512400,0,542100,0,508000,0,0,892300,0,511700,510600,0,503100,67700,0,712300,0,518200,0,514700,0,510900,0,511200,0,512800,0,277672
9.20E+07,1.78E+07,1.70E+07,1.75E+07,1.75E+07,1.70E+07,1.80E+07,1.71E+07,1.69E+07,1.70E+07,1.79E+07,1.70E+07,1.65E+07,1.70E+07,1.75E+07,1.70E+07,1.79E+07,1.70E+07,1.80E+07,1.70E+07,1.70E+07,1.74E+07,1.70E+07,1.75E+07,1.75E+07,1.70E+07,1.75E+07,1.70E+07,1.80E+07,1.70E+07,1.70E+07,1.70E+07,1.70E+07,1.75E+07,1.71E+07,1.79E+07,1.75E+07,1.70E+07,1.70E+07,1.81E+07,1.70E+07,1.70E+07,1.66E+07,1.75E+07,1.80E+07,1.75E+07,1.80E+07,1.80E+07,1.79E+07,2.08E+07,1.88E+07,1.75E+07,1.83E+07,1.76E+07,1.80E+07,1.72E+07,1.65E+07,1.76E+07,1.69E+07,1.70E+07,1.80E+07,1.74E+07,1.65E+07,1.70E+07,1.75E+07,1.70E+07,1.75E+07,1.70E+07,1.85E+07,1.63E+07,1.91E+07,1.70E+07,1.69E+07,1.79E+07,1.70E+07,1.67E+07,1.74E+07,1.82E+07,1.70E+07,1.76E+07,1.79E+07,1.65E+07,1.70E+07,1.70E+07,1.80E+07,1.70E+07,1.70E+07,1.70E+07,1.70E+07,1.70E+07,1.70E+07,1.76E+07,1.70E+07,1.80E+07,1.80E+07,1.72E+07,1.66E+07,1.76E+07,1.70E+07,1.74E+07,18109987
>>>>>>> b5b70842cf55a2f889c7ca8a2181e4f37763d0ff
