# Array,Mean,"['#1', '#2', '#3', '#4', '#5', '#6', '#7', '#8', '#9', '#10', '#11', '#12', '#13', '#14', '#15', '#16', '#17', '#18', '#19', '#20', '#21', '#22', '#23', '#24', '#25', '#26', '#27', '#28', '#29', '#30', '#31', '#32', '#33', '#34', '#35', '#36', '#37', '#38', '#39', '#40', '#41', '#42', '#43', '#44', '#45', '#46', '#47', '#48', '#49', '#50', '#51', '#52', '#53', '#54', '#55', '#56', '#57', '#58', '#59', '#60', '#61', '#62', '#63', '#64', '#65', '#66', '#67', '#68', '#69', '#70', '#71', '#72', '#73', '#74', '#75', '#76', '#77', '#78', '#79', '#80', '#81', '#82', '#83', '#84', '#85', '#86', '#87', '#88', '#89', '#90', '#91', '#92', '#93', '#94', '#95', '#96', '#97', '#98', '#99', '#100']"
Array 1,4.985809326171875e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009975433349609375, 0.0, 0.0009980201721191406, 0.0, 0.0, 0.0009965896606445312, 0.0, 0.0, 0.0009965896606445312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009970664978027344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Array 2,0.0005683541297912597,"[0.0009970664978027344, 0.0, 0.0, 0.000997304916381836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002992868423461914, 0.0009970664978027344, 0.0009961128234863281, 0.0, 0.000997304916381836, 0.0, 0.0, 0.0, 0.0, 0.0009968280792236328, 0.0, 0.0009970664978027344, 0.0, 0.0009965896606445312, 0.0, 0.0009961128234863281, 0.0, 0.0, 0.0009970664978027344, 0.003987312316894531, 0.0009982585906982422, 0.0009980201721191406, 0.0, 0.0009958744049072266, 0.0, 0.0009984970092773438, 0.0009975433349609375, 0.0009970664978027344, 0.0009953975677490234, 0.003990888595581055, 0.0, 0.0009970664978027344, 0.0, 0.0009944438934326172, 0.001996278762817383, 0.0, 0.0009975433349609375, 0.0, 0.0, 0.0009965896606445312, 0.0, 0.0009970664978027344, 0.001992464065551758, 0.0, 0.0, 0.0019943714141845703, 0.0009951591491699219, 0.0009970664978027344, 0.0, 0.0, 0.0009961128234863281, 0.0009961128234863281, 0.0, 0.0, 0.0, 0.0, 0.0019936561584472656, 0.0, 0.0, 0.0009982585906982422, 0.0, 0.0009975433349609375, 0.0009987354278564453, 0.0009961128234863281, 0.0, 0.0, 0.0009975433349609375, 0.0009968280792236328, 0.0, 0.0, 0.000997304916381836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002994537353515625, 0.0, 0.0, 0.0009970664978027344, 0.0, 0.0, 0.0, 0.0, 0.000997304916381836, 0.0]"
Array 3,0.02946004390716553,"[0.050513267517089844, 0.028438329696655273, 0.026931285858154297, 0.027578115463256836, 0.02850031852722168, 0.027274608612060547, 0.028018474578857422, 0.026964664459228516, 0.02743387222290039, 0.028937578201293945, 0.027957439422607422, 0.027960777282714844, 0.029944658279418945, 0.02889847755432129, 0.028504610061645508, 0.027925491333007812, 0.02868175506591797, 0.028923511505126953, 0.030239105224609375, 0.027925491333007812, 0.02892279624938965, 0.02843332290649414, 0.027503013610839844, 0.029000282287597656, 0.028920888900756836, 0.02749466896057129, 0.027767658233642578, 0.02699136734008789, 0.027954816818237305, 0.02788090705871582, 0.03200411796569824, 0.028923988342285156, 0.030948638916015625, 0.03508567810058594, 0.03501582145690918, 0.03342127799987793, 0.032099008560180664, 0.032801151275634766, 0.03390932083129883, 0.034871578216552734, 0.033908843994140625, 0.03191494941711426, 0.02934575080871582, 0.027932405471801758, 0.026932954788208008, 0.028373241424560547, 0.03001713752746582, 0.028647899627685547, 0.027934789657592773, 0.029359102249145508, 0.027947664260864258, 0.028925418853759766, 0.02915811538696289, 0.029102087020874023, 0.028923988342285156, 0.026904582977294922, 0.0289762020111084, 0.02879786491394043, 0.029920339584350586, 0.028940916061401367, 0.0488736629486084, 0.02892756462097168, 0.02845907211303711, 0.028926610946655273, 0.027925491333007812, 0.027966976165771484, 0.0293271541595459, 0.027601242065429688, 0.029949665069580078, 0.02828383445739746, 0.02988910675048828, 0.028077125549316406, 0.028924226760864258, 0.029232501983642578, 0.027976512908935547, 0.026984691619873047, 0.02975320816040039, 0.028922080993652344, 0.030683517456054688, 0.028565168380737305, 0.029532194137573242, 0.03130459785461426, 0.03026127815246582, 0.027953624725341797, 0.028217077255249023, 0.02896571159362793, 0.02968764305114746, 0.027433395385742188, 0.02829766273498535, 0.02826380729675293, 0.028393030166625977, 0.027016162872314453, 0.02785515785217285, 0.028322219848632812, 0.02822732925415039, 0.02798938751220703, 0.02948760986328125, 0.02732229232788086, 0.027779340744018555, 0.028979063034057617]"
Array 4,2.8743655943870543,"[5.3361945152282715, 2.879451036453247, 2.7943856716156006, 2.7991602420806885, 2.773764133453369, 2.767350673675537, 2.8158609867095947, 2.7830440998077393, 2.781947374343872, 2.7722909450531006, 2.781336784362793, 2.775430917739868, 2.7763094902038574, 2.779120445251465, 2.7902865409851074, 2.7781624794006348, 2.7895989418029785, 2.780007839202881, 2.7759618759155273, 2.780522346496582, 2.7980189323425293, 2.7792487144470215, 2.7884392738342285, 2.7763421535491943, 2.7657206058502197, 2.770340919494629, 2.779937744140625, 2.774298906326294, 2.7855417728424072, 2.777484655380249, 2.8012609481811523, 2.775864362716675, 2.7853472232818604, 2.770820140838623, 2.7732045650482178, 2.815453290939331, 2.8287034034729004, 2.807234764099121, 2.818385601043701, 2.827773094177246, 2.827272891998291, 2.85465669631958, 2.8074331283569336, 2.791538953781128, 2.813380718231201, 2.793517827987671, 3.0042481422424316, 2.943751811981201, 3.0113511085510254, 3.019101142883301, 2.9463789463043213, 3.1454877853393555, 3.13200306892395, 3.034625768661499, 3.1172566413879395, 3.04138445854187, 2.963022232055664, 2.8864927291870117, 2.9168639183044434, 2.892319917678833, 2.928504705429077, 2.910592794418335, 2.9393322467803955, 2.86415433883667, 2.8061680793762207, 2.799838066101074, 2.8891117572784424, 2.934088945388794, 2.8986642360687256, 2.786194324493408, 2.8170833587646484, 2.8406014442443848, 2.851121425628662, 2.8690996170043945, 2.791222333908081, 2.8501358032226562, 2.97771954536438, 2.9192092418670654, 2.881551504135132, 2.8313074111938477, 2.815670967102051, 2.843114137649536, 2.8321216106414795, 2.854038953781128, 2.8231360912323, 2.8619227409362793, 2.819794178009033, 2.808894157409668, 2.812452554702759, 2.9015681743621826, 2.8080296516418457, 2.8234751224517822, 2.8977510929107666, 2.823080539703369, 2.8910746574401855, 2.8178534507751465, 2.83091402053833, 2.8670856952667236, 2.984837532043457, 2.8823466300964355]"
