# Array,Mean,"['#1', '#2', '#3', '#4', '#5', '#6', '#7', '#8', '#9', '#10', '#11', '#12', '#13', '#14', '#15', '#16', '#17', '#18', '#19', '#20', '#21', '#22', '#23', '#24', '#25', '#26', '#27', '#28', '#29', '#30', '#31', '#32', '#33', '#34', '#35', '#36', '#37', '#38', '#39', '#40', '#41', '#42', '#43', '#44', '#45', '#46', '#47', '#48', '#49', '#50', '#51', '#52', '#53', '#54', '#55', '#56', '#57', '#58', '#59', '#60', '#61', '#62', '#63', '#64', '#65', '#66', '#67', '#68', '#69', '#70', '#71', '#72', '#73', '#74', '#75', '#76', '#77', '#78', '#79', '#80', '#81', '#82', '#83', '#84', '#85', '#86', '#87', '#88', '#89', '#90', '#91', '#92', '#93', '#94', '#95', '#96', '#97', '#98', '#99', '#100']"
Array 1,0.00019095659255981444,"[0.0, 0.0, 0.0, 0.0009970664978027344, 0.0, 0.00099945068359375, 0.0, 0.0, 0.0, 0.001096963882446289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00099945068359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010006427764892578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002000570297241211, 0.0, 0.0, 0.0, 0.0010001659393310547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010004043579101562, 0.0, 0.004002571105957031, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003999233245849609, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0019991397857666016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Array 2,0.0019496607780456544,"[0.0029990673065185547, 0.0009992122650146484, 0.0009996891021728516, 0.006999015808105469, 0.0010018348693847656, 0.001999378204345703, 0.0009989738464355469, 0.0010001659393310547, 0.0010001659393310547, 0.0009672641754150391, 0.0010027885437011719, 0.003000974655151367, 0.0019981861114501953, 0.005000591278076172, 0.0019989013671875, 0.0009999275207519531, 0.0009992122650146484, 0.0009999275207519531, 0.001999378204345703, 0.002000093460083008, 0.0010001659393310547, 0.0010013580322265625, 0.0009996891021728516, 0.0009996891021728516, 0.001996278762817383, 0.0010020732879638672, 0.003000497817993164, 0.0010006427764892578, 0.0020055770874023438, 0.00099945068359375, 0.0010001659393310547, 0.0009980201721191406, 0.00099945068359375, 0.0010042190551757812, 0.0009996891021728516, 0.0020008087158203125, 0.001001596450805664, 0.0030007362365722656, 0.0010004043579101562, 0.0020055770874023438, 0.0019989013671875, 0.006001472473144531, 0.002000093460083008, 0.0009996891021728516, 0.005000114440917969, 0.0009953975677490234, 0.00099945068359375, 0.0019986629486083984, 0.0009980201721191406, 0.0009996891021728516, 0.0010004043579101562, 0.0010063648223876953, 0.00299835205078125, 0.0039997100830078125, 0.001998424530029297, 0.0009984970092773438, 0.0010001659393310547, 0.0009958744049072266, 0.0010008811950683594, 0.0009992122650146484, 0.004998922348022461, 0.0009992122650146484, 0.0009992122650146484, 0.0010006427764892578, 0.0019998550415039062, 0.0029997825622558594, 0.0029997825622558594, 0.0009992122650146484, 0.0009992122650146484, 0.0009992122650146484, 0.001001119613647461, 0.0019981861114501953, 0.0040018558502197266, 0.001999378204345703, 0.0009963512420654297, 0.0009987354278564453, 0.0060002803802490234, 0.002000570297241211, 0.0029993057250976562, 0.0020008087158203125, 0.0019996166229248047, 0.00099945068359375, 0.003002166748046875, 0.0010008811950683594, 0.0020008087158203125, 0.0010006427764892578, 0.002000570297241211, 0.008999824523925781, 0.0010004043579101562, 0.005001068115234375, 0.001998424530029297, 0.0019872188568115234, 0.0010004043579101562, 0.0009987354278564453, 0.004000425338745117, 0.0020079612731933594, 0.0009989738464355469, 0.0010006427764892578, 0.0010061264038085938, 0.004999876022338867]"
Array 3,0.1578944969177246,"[0.32853055000305176, 0.15001296997070312, 0.13201022148132324, 0.1480100154876709, 0.14200925827026367, 0.14200735092163086, 0.13001084327697754, 0.12701034545898438, 0.13000965118408203, 0.13401055335998535, 0.1200098991394043, 0.12700867652893066, 0.14101052284240723, 0.14901328086853027, 0.12900853157043457, 0.11700844764709473, 0.1260082721710205, 0.11900901794433594, 0.11900758743286133, 0.12501049041748047, 0.13637852668762207, 0.14800786972045898, 0.13400959968566895, 0.12500882148742676, 0.13600754737854004, 0.1350083351135254, 0.1290137767791748, 0.15701532363891602, 0.13000893592834473, 0.14400768280029297, 0.12105178833007812, 0.12101054191589355, 0.15301108360290527, 0.1300492286682129, 0.16101479530334473, 0.20401239395141602, 0.14400792121887207, 0.14600467681884766, 0.14201593399047852, 0.12340688705444336, 0.12300825119018555, 0.1260089874267578, 0.13000774383544922, 0.13708186149597168, 0.1270153522491455, 0.11904263496398926, 0.1810140609741211, 0.16952180862426758, 0.15800809860229492, 0.17409729957580566, 0.14501166343688965, 0.20052433013916016, 0.15401053428649902, 0.16701102256774902, 0.20459818840026855, 0.1830129623413086, 0.18601298332214355, 0.16901087760925293, 0.19204282760620117, 0.22060036659240723, 0.20752286911010742, 0.16805267333984375, 0.18101143836975098, 0.18101286888122559, 0.17003655433654785, 0.20401525497436523, 0.18401002883911133, 0.21359896659851074, 0.17801356315612793, 0.20352625846862793, 0.2200145721435547, 0.17101335525512695, 0.16610383987426758, 0.16601109504699707, 0.1540079116821289, 0.20061612129211426, 0.1625206470489502, 0.18001389503479004, 0.17901372909545898, 0.20557332038879395, 0.17801380157470703, 0.16057896614074707, 0.2365274429321289, 0.19701528549194336, 0.1995396614074707, 0.22901511192321777, 0.16855263710021973, 0.18233609199523926, 0.1710367202758789, 0.18101286888122559, 0.12700963020324707, 0.12804603576660156, 0.1475539207458496, 0.12300872802734375, 0.12000918388366699, 0.11600661277770996, 0.11900949478149414, 0.12100887298583984, 0.1250596046447754, 0.14101004600524902]"
Array 4,12.18682627916336,"[21.913072109222412, 10.941426515579224, 12.842852115631104, 11.05104660987854, 13.017128229141235, 11.261102199554443, 11.901694297790527, 10.718003034591675, 13.093446016311646, 17.079212188720703, 10.020067691802979, 9.653363227844238, 9.712428569793701, 9.542678833007812, 9.752098798751831, 10.09220027923584, 9.766961336135864, 9.984936237335205, 9.748718738555908, 9.859569787979126, 9.85707426071167, 9.726467370986938, 9.823532819747925, 9.707015752792358, 9.706853866577148, 9.791678667068481, 9.646376132965088, 9.756880521774292, 9.747261047363281, 9.585135698318481, 10.381824970245361, 9.834385633468628, 9.677876234054565, 9.701384782791138, 10.10094404220581, 9.747524499893188, 10.507428169250488, 11.163016319274902, 10.243943691253662, 9.733752965927124, 9.701844930648804, 9.763552188873291, 9.804734468460083, 10.637988805770874, 14.25519871711731, 19.001672744750977, 16.03357243537903, 13.380790948867798, 19.745673894882202, 23.125024557113647, 13.866595983505249, 12.083738565444946, 16.522215604782104, 14.100694417953491, 12.474349737167358, 11.95035457611084, 16.125489711761475, 18.622068881988525, 11.750771522521973, 11.908726692199707, 11.910171031951904, 11.852784395217896, 11.775088548660278, 11.730314016342163, 12.010376930236816, 11.972584009170532, 12.275373697280884, 11.792770862579346, 12.516903162002563, 9.691884756088257, 9.636203050613403, 9.429636240005493, 9.489053964614868, 9.606266975402832, 9.692338943481445, 10.226486921310425, 17.12601065635681, 23.224875450134277, 25.9459331035614, 19.780745029449463, 18.32020854949951, 14.993312120437622, 14.389370918273926, 13.963429927825928, 13.957274436950684, 11.125713586807251, 10.578379392623901, 10.937508583068848, 10.71150803565979, 10.74491024017334, 10.945307493209839, 11.229407787322998, 11.092175483703613, 12.661245822906494, 10.84636378288269, 11.005088567733765, 10.76606297492981, 10.840217590332031, 11.978092193603516, 10.663825035095215]"
