# Array,Mean,"['#1', '#2', '#3', '#4', '#5', '#6', '#7', '#8', '#9', '#10', '#11', '#12', '#13', '#14', '#15', '#16', '#17', '#18', '#19', '#20', '#21', '#22', '#23', '#24', '#25', '#26', '#27', '#28', '#29', '#30', '#31', '#32', '#33', '#34', '#35', '#36', '#37', '#38', '#39', '#40', '#41', '#42', '#43', '#44', '#45', '#46', '#47', '#48', '#49', '#50', '#51', '#52', '#53', '#54', '#55', '#56', '#57', '#58', '#59', '#60', '#61', '#62', '#63', '#64', '#65', '#66', '#67', '#68', '#69', '#70', '#71', '#72', '#73', '#74', '#75', '#76', '#77', '#78', '#79', '#80', '#81', '#82', '#83', '#84', '#85', '#86', '#87', '#88', '#89', '#90', '#91', '#92', '#93', '#94', '#95', '#96', '#97', '#98', '#99', '#100']"
Array 1,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Array 2,0.0006044983863830566,"[0.0010318756103515625, 0.0009634494781494141, 0.0, 0.0009975433349609375, 0.0004439353942871094, 0.0005533695220947266, 0.0, 0.0009970664978027344, 0.0, 0.001997709274291992, 0.0010521411895751953, 0.0, 0.0010838508605957031, 0.0, 0.0019066333770751953, 0.0, 0.0009984970092773438, 0.0009963512420654297, 0.0009982585906982422, 0.0, 0.0009984970092773438, 0.0, 0.000997781753540039, 0.0005500316619873047, 0.0, 0.001031637191772461, 0.0, 0.0009634494781494141, 0.0, 0.0011508464813232422, 0.0, 0.0008759498596191406, 0.0, 0.000965118408203125, 0.0, 0.0, 0.0009961128234863281, 0.0, 0.000997304916381836, 0.0, 0.0014765262603759766, 0.000553131103515625, 0.0, 0.0009949207305908203, 0.00010776519775390625, 0.0, 0.0009675025939941406, 0.0, 0.0009171962738037109, 0.0, 0.0009992122650146484, 0.0, 0.0009667873382568359, 0.0, 0.000997781753540039, 0.0, 0.0009965896606445312, 0.0, 0.0010311603546142578, 0.00018906593322753906, 0.0008068084716796875, 0.0, 0.0009658336639404297, 0.0009968280792236328, 0.0, 0.0009975433349609375, 0.0, 0.0010275840759277344, 0.0, 0.0010912418365478516, 0.0008935928344726562, 0.0009765625, 0.0009970664978027344, 0.0, 0.000997304916381836, 0.0, 0.0009970664978027344, 0.0, 0.0010600090026855469, 0.0009486675262451172, 0.0009849071502685547, 0.0009961128234863281, 0.0, 0.000997304916381836, 0.0010547637939453125, 0.0, 0.0019371509552001953, 0.0, 0.0010766983032226562, 0.0009179115295410156, 0.0, 0.0013780593872070312, 0.0006163120269775391, 0.0, 0.0010993480682373047, 0.0, 0.0008962154388427734, 0.001132965087890625, 0.0008609294891357422, 0.0]"
Array 3,0.06652689456939698,"[0.11949014663696289, 0.06508851051330566, 0.06774592399597168, 0.07171344757080078, 0.06357002258300781, 0.06850481033325195, 0.06981182098388672, 0.06922292709350586, 0.06597709655761719, 0.06006789207458496, 0.05779123306274414, 0.05754566192626953, 0.06362390518188477, 0.06708383560180664, 0.0713663101196289, 0.06592655181884766, 0.06743454933166504, 0.06205320358276367, 0.06098222732543945, 0.060922861099243164, 0.06104421615600586, 0.06007885932922363, 0.06331110000610352, 0.07057356834411621, 0.05444502830505371, 0.07060766220092773, 0.05984950065612793, 0.06225395202636719, 0.06206083297729492, 0.05699896812438965, 0.05690813064575195, 0.06587648391723633, 0.05815482139587402, 0.06066727638244629, 0.057486772537231445, 0.06099724769592285, 0.060014963150024414, 0.06720900535583496, 0.0666506290435791, 0.06697487831115723, 0.07194733619689941, 0.059255361557006836, 0.06590771675109863, 0.060950279235839844, 0.07199382781982422, 0.05998516082763672, 0.05897402763366699, 0.060051679611206055, 0.0738077163696289, 0.06317925453186035, 0.05706954002380371, 0.05679774284362793, 0.07505226135253906, 0.0765848159790039, 0.061774492263793945, 0.06087636947631836, 0.06280755996704102, 0.07004690170288086, 0.06110882759094238, 0.061830997467041016, 0.07171297073364258, 0.06446480751037598, 0.059670209884643555, 0.05885887145996094, 0.06328749656677246, 0.058034420013427734, 0.05926203727722168, 0.0684654712677002, 0.06551218032836914, 0.05925393104553223, 0.05918765068054199, 0.059389352798461914, 0.05919027328491211, 0.055846214294433594, 0.06792140007019043, 0.0643310546875, 0.06083512306213379, 0.06392025947570801, 0.06207728385925293, 0.06904482841491699, 0.06593108177185059, 0.06718182563781738, 0.07280445098876953, 0.05997610092163086, 0.08130860328674316, 0.07312798500061035, 0.09300470352172852, 0.12126445770263672, 0.0946953296661377, 0.06106281280517578, 0.08290696144104004, 0.07542300224304199, 0.05852484703063965, 0.08705329895019531, 0.07321858406066895, 0.0877842903137207, 0.07201933860778809, 0.061124324798583984, 0.0597531795501709, 0.06616973876953125]"
Array 4,9.32221731185913,"[15.555532455444336, 8.624650001525879, 8.607939004898071, 8.434089422225952, 8.59369683265686, 8.549262762069702, 10.471989870071411, 12.870731115341187, 11.945069551467896, 12.846931219100952, 12.686999559402466, 16.28556489944458, 16.12922692298889, 12.117262840270996, 13.094378471374512, 12.161597728729248, 12.173259973526001, 12.931084871292114, 12.579757928848267, 11.143731355667114, 11.153012037277222, 11.296160459518433, 10.757848978042603, 8.577971458435059, 10.271655559539795, 8.265509605407715, 8.464147090911865, 8.316814184188843, 8.330957651138306, 8.276478052139282, 8.234702110290527, 8.35416054725647, 8.254899263381958, 8.279863119125366, 8.18314242362976, 8.30809736251831, 10.210820436477661, 8.410768508911133, 8.455032110214233, 8.330015897750854, 8.304354667663574, 8.294826030731201, 8.222836256027222, 8.23128056526184, 8.33377456665039, 8.317952394485474, 8.260896921157837, 8.26441740989685, 8.155256509780884, 8.17759656906128, 8.30981159210205, 8.388889074325562, 8.235069751739502, 9.764309167861938, 8.514653205871582, 8.542911767959595, 8.313207387924194, 8.546438932418823, 8.68533205986023, 8.695052146911621, 8.54915165901184, 8.461918354034424, 8.594929933547974, 8.494160652160645, 8.691419124603271, 8.428343772888184, 8.496278524398804, 8.47267746925354, 8.375163555145264, 8.545308589935303, 8.36749815940857, 8.424428939819336, 8.457747220993042, 8.664941787719727, 8.50823450088501, 8.552123785018921, 8.28542447090149, 8.423048734664917, 8.47802186012268, 8.686916589736938, 8.652178764343262, 8.472133159637451, 8.487961292266846, 8.586478471755981, 8.53925347328186, 8.592270851135254, 8.50379228591919, 8.730143547058105, 8.568796157836914, 8.542203426361084, 8.287114143371582, 8.555108070373535, 8.56781530380249, 8.686914682388306, 8.5709867477417, 8.712031364440918, 8.42484736442566, 8.553367376327515, 10.903822422027588, 12.233093976974487]"
